t,plant,axis,Conc_Nitrates_Soil,Tsoil,mineralisation,nitrates,volume
0,1,MS,NA,12.00000000,NA,428571.00000000,1
1,1,MS,428501.19220820,6.26400000,0.00244379,428501.19220820,1
2,1,MS,428440.31335982,5.41500000,0.00227375,428440.31335982,1
3,1,MS,428378.55699723,6.22300000,0.00243531,428378.55699723,1
4,1,MS,428320.91562754,5.95700000,0.00238100,428320.91562754,1
5,1,MS,428266.77643646,5.73300000,0.00233613,428266.77643646,1
6,1,MS,428215.28944015,5.59000000,0.00230788,428215.28944015,1
7,1,MS,428165.91510811,5.51100000,0.00229242,428165.91510811,1
8,1,MS,428118.24768595,5.48000000,0.00228637,428118.24768595,1
9,1,MS,428072.14921762,5.45500000,0.00228151,428072.14921762,1
10,1,MS,428027.34939222,5.45000000,0.00228054,428027.34939222,1
11,1,MS,427983.70695803,5.46600000,0.00228365,427983.70695803,1
12,1,MS,427941.28439289,5.44500000,0.00227957,427941.28439289,1
13,1,MS,427900.10588219,5.38500000,0.00226794,427900.10588219,1
14,1,MS,427860.03350065,5.34600000,0.00226041,427860.03350065,1
15,1,MS,427820.88151321,5.34700000,0.00226061,427820.88151321,1
16,1,MS,427782.42577658,5.40100000,0.00227104,427782.42577658,1
17,1,MS,427744.53912828,5.48900000,0.00228812,427744.53912828,1
18,1,MS,427707.12048231,5.60000000,0.00230985,427707.12048231,1
19,1,MS,427670.17167043,5.71200000,0.00233196,427670.17167043,1
20,1,MS,427633.63655032,5.84000000,0.00235746,427633.63655032,1
21,1,MS,427597.41745797,6.00100000,0.00238991,427597.41745797,1
22,1,MS,427561.39443952,6.20300000,0.00243119,427561.39443952,1
23,1,MS,427525.48778512,6.43300000,0.00247899,427525.48778512,1
24,1,MS,427489.81853383,6.62600000,0.00251976,427489.81853383,1
25,1,MS,427454.52276188,6.77300000,0.00255122,427454.52276188,1
26,1,MS,427419.55712710,6.93100000,0.00258544,427419.55712710,1
27,1,MS,427384.76992759,7.14000000,0.00263135,427384.76992759,1
28,1,MS,427350.31095678,7.30500000,0.00266811,427350.31095678,1
29,1,MS,427316.31210032,7.42500000,0.00269514,427316.31210032,1
30,1,MS,427282.90466511,7.50000000,0.00271217,427282.90466511,1
31,1,MS,427250.09504240,7.57000000,0.00272814,427250.09504240,1
32,1,MS,427218.15283733,7.53500000,0.00272014,427218.15283733,1
33,1,MS,427186.81813800,7.59000000,0.00273272,427186.81813800,1
34,1,MS,427156.39547904,7.52000000,0.00271672,427156.39547904,1
35,1,MS,427127.04546634,7.36500000,0.00268160,427127.04546634,1
36,1,MS,427098.21959958,7.43000000,0.00269628,427098.21959958,1
37,1,MS,427069.82570498,7.53000000,0.00271900,427069.82570498,1
38,1,MS,427042.22554997,7.46500000,0.00270421,427042.22554997,1
39,1,MS,427015.91968518,7.16000000,0.00263578,427015.91968518,1
40,1,MS,426990.47296295,7.01500000,0.00260380,426990.47296295,1
41,1,MS,426965.51901624,7.03500000,0.00260819,426965.51901624,1
42,1,MS,426941.17599449,6.99600000,0.00259964,426941.17599449,1
43,1,MS,426917.49233357,6.92800000,0.00258479,426917.49233357,1
44,1,MS,426894.67931580,6.72700000,0.00254134,426894.67931580,1
45,1,MS,426872.91470123,6.38100000,0.00246811,426872.91470123,1
46,1,MS,426851.65910352,6.25000000,0.00244089,426851.65910352,1
47,1,MS,426830.20466108,6.45200000,0.00248298,426830.20466108,1
48,1,MS,426808.25809065,6.75600000,0.00254757,426808.25809065,1
49,1,MS,426785.62643809,7.07500000,0.00261699,426785.62643809,1
50,1,MS,426762.68346076,7.19500000,0.00264355,426762.68346076,1
51,1,MS,426739.81163748,7.13500000,0.00263024,426739.81163748,1
52,1,MS,426717.06196974,7.03800000,0.00260885,426717.06196974,1
53,1,MS,426694.87581665,6.73600000,0.00254327,426694.87581665,1
54,1,MS,426673.39753135,6.37100000,0.00246602,426673.39753135,1
55,1,MS,426652.41307196,6.14300000,0.00241886,426652.41307196,1
56,1,MS,426631.90471162,5.92200000,0.00237394,426631.90471162,1
57,1,MS,426611.71526989,5.79200000,0.00234787,426611.71526989,1
58,1,MS,426591.77391578,5.71100000,0.00233176,426591.77391578,1
59,1,MS,426572.00674619,5.68600000,0.00232681,426572.00674619,1
60,1,MS,426552.41872362,5.67500000,0.00232463,426552.41872362,1
61,1,MS,426533.08468305,5.62100000,0.00231398,426533.08468305,1
62,1,MS,426514.07331353,5.53500000,0.00229710,426514.07331353,1
63,1,MS,426495.41679578,5.43300000,0.00227724,426495.41679578,1
64,1,MS,426477.07378588,5.35100000,0.00226138,426477.07378588,1
65,1,MS,426459.00045069,5.29800000,0.00225118,426459.00045069,1
66,1,MS,426441.19626766,5.24600000,0.00224122,426441.19626766,1
67,1,MS,426423.68996487,5.17400000,0.00222749,426423.68996487,1
68,1,MS,426406.49995229,5.08700000,0.00221100,426406.49995229,1
69,1,MS,426389.62043630,4.99800000,0.00219425,426389.62043630,1
70,1,MS,426372.98761187,4.94800000,0.00218490,426372.98761187,1
71,1,MS,426356.48043789,4.96700000,0.00218845,426356.48043789,1
72,1,MS,426339.89749853,5.11400000,0.00221611,426339.89749853,1
73,1,MS,426323.12207215,5.32800000,0.00225695,426323.12207215,1
74,1,MS,426306.27165538,5.43500000,0.00227762,426306.27165538,1
75,1,MS,426289.47131577,5.44200000,0.00227898,426289.47131577,1
76,1,MS,426272.99337042,5.25600000,0.00224313,426272.99337042,1
77,1,MS,426257.04659260,4.89800000,0.00217557,426257.04659260,1
78,1,MS,426241.80654014,4.39500000,0.00208380,426241.80654014,1
79,1,MS,426227.18310020,3.92600000,0.00200143,426227.18310020,1
80,1,MS,426213.04995198,3.53700000,0.00193538,426213.04995198,1
81,1,MS,426199.38674439,3.16000000,0.00187329,426199.38674439,1
82,1,MS,426186.08940204,2.84700000,0.00182312,426186.08940204,1
83,1,MS,426173.07124393,2.60500000,0.00178518,426173.07124393,1
84,1,MS,426160.17495739,2.49400000,0.00176803,426160.17495739,1
85,1,MS,426147.33401735,2.45700000,0.00176234,426147.33401735,1
86,1,MS,426134.57268605,2.40300000,0.00175407,426134.57268605,1
87,1,MS,426121.89026441,2.35400000,0.00174660,426121.89026441,1
88,1,MS,426109.29043835,2.30300000,0.00173885,426109.29043835,1
89,1,MS,426096.78980995,2.24100000,0.00172948,426096.78980995,1
90,1,MS,426084.38911517,2.17900000,0.00172015,426084.38911517,1
91,1,MS,426072.06227596,2.14300000,0.00171476,426072.06227596,1
92,1,MS,426059.85010454,2.07000000,0.00170386,426059.85010454,1
93,1,MS,426047.74813721,1.98800000,0.00169171,426047.74813721,1
94,1,MS,426035.67475840,1.93200000,0.00168345,426035.67475840,1
95,1,MS,426023.49518359,1.92100000,0.00168183,426023.49518359,1
96,1,MS,426010.98394217,2.04400000,0.00170000,426010.98394217,1
97,1,MS,425997.69886024,2.51600000,0.00177141,425997.69886024,1
98,1,MS,425983.64117360,2.92600000,0.00183567,425983.64117360,1
99,1,MS,425968.97857350,3.18900000,0.00187800,425968.97857350,1
100,1,MS,425954.09691272,3.18100000,0.00187670,425954.09691272,1
101,1,MS,425939.36457058,2.89100000,0.00183010,425939.36457058,1
102,1,MS,425924.81661708,2.60100000,0.00178456,425924.81661708,1
103,1,MS,425910.53964592,2.25000000,0.00173084,425910.53964592,1
104,1,MS,425896.30697894,2.09800000,0.00170804,425896.30697894,1
105,1,MS,425882.03889009,2.02300000,0.00169689,425882.03889009,1
106,1,MS,425867.75680636,1.94600000,0.00168551,425867.75680636,1
107,1,MS,425853.51385150,1.84900000,0.00167128,425853.51385150,1
108,1,MS,425839.26535819,1.78700000,0.00166224,425839.26535819,1
109,1,MS,425824.99351735,1.74200000,0.00165570,425824.99351735,1
110,1,MS,425810.69656380,1.72500000,0.00165324,425810.69656380,1
111,1,MS,425796.36003335,1.72000000,0.00165252,425796.36003335,1
112,1,MS,425782.03452504,1.68200000,0.00164703,425782.03452504,1
113,1,MS,425767.71192926,1.65400000,0.00164300,425767.71192926,1
114,1,MS,425753.37249330,1.65600000,0.00164328,425753.37249330,1
115,1,MS,425739.02096960,1.65800000,0.00164357,425739.02096960,1
116,1,MS,425724.63498023,1.68000000,0.00164674,425724.63498023,1
117,1,MS,425710.21934354,1.70000000,0.00164963,425710.21934354,1
118,1,MS,425695.69920472,1.76500000,0.00165904,425695.69920472,1
119,1,MS,425680.87422176,1.95000000,0.00168610,425680.87422176,1
120,1,MS,425665.34711458,2.39800000,0.00175331,425665.34711458,1
121,1,MS,425648.89633745,2.99000000,0.00184589,425648.89633745,1
122,1,MS,425631.72596684,3.39700000,0.00191211,425631.72596684,1
123,1,MS,425614.02365556,3.69100000,0.00196129,425614.02365556,1
124,1,MS,425596.12277956,3.78200000,0.00197674,425596.12277956,1
125,1,MS,425578.36685838,3.66400000,0.00195672,425578.36685838,1
126,1,MS,425560.87509679,3.47600000,0.00192521,425560.87509679,1
127,1,MS,425543.81432544,3.17700000,0.00187605,425543.81432544,1
128,1,MS,425527.38053775,2.72900000,0.00180453,425527.38053775,1
129,1,MS,425511.26048255,2.48900000,0.00176726,425511.26048255,1
130,1,MS,425495.19919754,2.43800000,0.00175943,425495.19919754,1
131,1,MS,425479.17418539,2.41200000,0.00175545,425479.17418539,1
132,1,MS,425463.23196604,2.35900000,0.00174736,425463.23196604,1
133,1,MS,425447.38532966,2.30300000,0.00173885,425447.38532966,1
134,1,MS,425431.90441766,2.04600000,0.00170030,425431.90441766,1
135,1,MS,425416.73227188,1.82700000,0.00166806,425416.73227188,1
136,1,MS,425401.69478243,1.73300000,0.00165440,425401.69478243,1
137,1,MS,425386.75685725,1.66000000,0.00164386,425386.75685725,1
138,1,MS,425371.92565111,1.59700000,0.00163481,425371.92565111,1
139,1,MS,425357.20019144,1.53100000,0.00162538,425357.20019144,1
140,1,MS,425342.58128722,1.46600000,0.00161615,425342.58128722,1
141,1,MS,425328.06634679,1.39300000,0.00160583,425328.06634679,1
142,1,MS,425313.56354673,1.34700000,0.00159936,425313.56354673,1
143,1,MS,425298.94909348,1.33000000,0.00159697,425298.94909348,1
144,1,MS,425284.09505782,1.34000000,0.00159838,425284.09505782,1
145,1,MS,425268.79520597,1.49800000,0.00162069,425268.79520597,1
146,1,MS,425252.86204858,1.75700000,0.00165788,425252.86204858,1
147,1,MS,425236.20902610,2.08500000,0.00170610,425236.20902610,1
